ADDRESS_ID,ADDRESS_TYPE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,ADDRESS_LINE5,ADDRESS_LINE6,ADDRESS_LINE7,ADDRESS_LINE8,ADDRESS_NO,CONTACT_NO,LANGUAGE_ID,COMPANY_NAME0,COMPANY_NAME1,COMPANY_NAME2,COMPANY_NAME3,ADDRESS_SUP,CO_ENDORSEMENT,STREET,PO_BOX,MAIL_ZIP,MAIL_ZIP_SUP,MAIL_CITY,WHITE_MAIL_STOP,TEL,TEL_STOP,WEBSITE,EMAIL_POOL,GENDER_ID,GENDER,TITLE_ID,TITLE,FIRSTNAME,LASTNAME,LASTNAME2,LASTNAME2_TYPE,NAME_ATTRIBUTE,POSITION,SALUTATION,CANTON,ORGANIZATION_TYPE,COMPANY_FOUNDING,COM_REG_ENTRY,UID_NO,MAIN_ACTIVITY_CODE,MAIN_ACTIVITY_CODE_TEXT,NUM_EMPLOYEE_STAT,LEGAL_FORM_TEXT,SALES_STAT,LINE_SUP,Motorrad
391,B,Herr,Hansruedi Märki,Autofahrschule,Bohrturmweg 6,5330 Bad Zurzach,,,,669977,773394,1,Herr,Hansruedi Märki,Autofahrschule,,,,Bohrturmweg 6,,5330,0,Bad Zurzach,N,nicht bestellt,Y,www.fahrschule-maerki.ch,nicht bestellt,1,Herr,,,Hansruedi,Märki,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Märki,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
541,B,C&F am Rhein AG,Herr Walter Frehner,Rehwiesenstrasse 4,5330 Bad Zurzach,,,,,1149489,1149551,1,,C&F am Rhein AG,,,,,Rehwiesenstrasse 4,,5330,0,Bad Zurzach,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Walter,Frehner,,,,Geschäftsführer/Inhaber#Verwaltungsrat-/Stiftungsrat-/Präsident,Sehr geehrter Herr Frehner,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-109.687.544,,,01-Sep,AG,nicht bestellt,,nein
624,B,Drive Team Baden,Badstrasse 15,5400 Baden,,,,,,1515649,0,1,,Drive Team Baden,,,,,Badstrasse 15,,5400,0,Baden,N,nicht bestellt,Y,www.driveteambaden.ch,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Org. ohne def. RF,nicht bestellt,,ja
25,B,Klubschule Migros,Migros Aare,Nordhaus 3,5400 Baden,,,,,93492,0,1,,Klubschule Migros,,,Migros Aare,,Nordhaus 3,,5400,0,Baden,N,nicht bestellt,N,www.migros.ch,nicht bestellt,0,,,,,,,,,unpersonalisiert,Sehr geehrte Damen und Herren,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855903B,Weiterbildungskurse & Seminar Anbieter,Oct-19,NDL ohne HR,nicht bestellt,,ja
159,B,Herr,Bruno Schneider,Theorieschule City,Badstrasse 15,5400 Baden,,,,481353,333901,1,Herr,Bruno Schneider,Theorieschule City,,,,Badstrasse 15,,5400,0,Baden,N,nicht bestellt,Y,www.theorieschule-city.ch,nicht bestellt,1,Herr,,,Bruno,Schneider,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Schneider,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1700,B,Frau,Ausilia Haudenschild,Haudi's Fahrschule,Haselstrasse 33,5400 Baden,,,,4105807,4105828,1,Frau,Ausilia Haudenschild,Haudi's Fahrschule,,,,Haselstrasse 33,,5400,0,Baden,N,nicht bestellt,Y,www.haudi.ch,nicht bestellt,2,Frau,,,Ausilia,Haudenschild,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Haudenschild,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
1783,B,Herr,Philip Schwarz,Fahrschule Schwarz,Zürcherstrasse 115,5400 Baden,,,,4279050,4279161,1,Herr,Philip Schwarz,Fahrschule Schwarz,,,,Zürcherstrasse 115,,5400,0,Baden,N,nicht bestellt,Y,,nicht bestellt,1,Herr,,,Philip,Schwarz,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Schwarz,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-273.451.641,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1156,B,Herr,Gianluca Fini,Fahrschule Fini,Fluhmattstrasse 16,5400 Baden,,,,2987224,2987418,1,Herr,Gianluca Fini,Fahrschule Fini,,,,Fluhmattstrasse 16,,5400,0,Baden,N,nicht bestellt,N,,nicht bestellt,1,Herr,,,Gianluca,Fini,,,,Geschäftsführer/Inhaber#Einkaufsleiter#Informatikleiter#Finanzleiter#Marketingleiter#Verkaufsleiter,Sehr geehrter Herr Fini,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-406.533.455,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,ja
648,B,Herr,Daniel Zünd,Autofahrschule,Zelgweg 38,5405 Dättwil AG,,,,1515766,1515767,1,Herr,Daniel Zünd,Autofahrschule,,,,Zelgweg 38,,5405,2,Dättwil AG,N,nicht bestellt,Y,www.zuend.com,nicht bestellt,1,Herr,,,Daniel,Zünd,,,,Geschäftsführer/Inhaber,Sehr geehrter Herr Zünd,AG,nicht bestellt,nicht bestellt,nicht bestellt,,855300,Autofahrschulen & Flugschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
1968,B,Frau,Samanta Schmassmann,Sam's Fahrschule,Im Rüteli 7,5405 Dättwil AG,,,,5610206,5610269,1,Frau,Samanta Schmassmann,Sam's Fahrschule,,,,Im Rüteli 7,,5405,2,Dättwil AG,N,nicht bestellt,N,,nicht bestellt,2,Frau,,,Samanta,Schmassmann,,,,Geschäftsführer/Inhaber,Sehr geehrte Frau Schmassmann,AG,nicht bestellt,nicht bestellt,nicht bestellt,CHE-131.693.066,855300A,Autofahrschulen,01-Sep,Einzelfirma,nicht bestellt,,nein
